,precision,recall,f1-score,support,variable
0,0.9817295980511571,0.9901719901719902,0.9859327217125382,1628.0,credit_lines_outstanding
1,0.9553072625698324,0.9193548387096774,0.936986301369863,372.0,credit_lines_outstanding
accuracy,0.977,0.977,0.977,0.977,credit_lines_outstanding
macro avg,0.9685184303104948,0.9547634144408338,0.9614595115412006,2000.0,credit_lines_outstanding
weighted avg,0.9768150436516307,0.977,0.9768286875288006,2000.0,credit_lines_outstanding
0,0.9509981851179673,0.9656019656019657,0.9582444376714416,1628.0,total_debt_outstanding
1,0.8386167146974063,0.782258064516129,0.8094575799721836,372.0,total_debt_outstanding
accuracy,0.9315,0.9315,0.9315,0.9315,total_debt_outstanding
macro avg,0.8948074499076868,0.8739300150590473,0.8838510088218126,2000.0,total_debt_outstanding
weighted avg,0.9300952316197428,0.9315,0.9305700821393796,2000.0,total_debt_outstanding
0,0.8229007633587786,0.9932432432432432,0.9000834956860562,1628.0,years_employed
1,0.6857142857142857,0.06451612903225806,0.11793611793611794,372.0,years_employed
accuracy,0.8205,0.8205,0.8205,0.8205,years_employed
macro avg,0.7543075245365322,0.5288796861377506,0.5090098068110871,2000.0,years_employed
weighted avg,0.797384078516903,0.8205,0.7546040834245676,2000.0,years_employed
0,0.8342857142857143,0.9864864864864865,0.9040247678018576,1628.0,fico_score
1,0.7066666666666667,0.1424731182795699,0.2371364653243848,372.0,fico_score
accuracy,0.8295,0.8295,0.8295,0.8295,fico_score
macro avg,0.7704761904761905,0.5644798023830282,0.5705806165631212,2000.0,fico_score
weighted avg,0.8105485714285714,0.8295,0.7799835435410476,2000.0,fico_score
